molecule,smiles,Erel_eV,
hc_c16h10_0pent_1,c1cc2ccc3cccc4ccc(c1)c2c34,0,
hc_c20h12_0pent_1,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,0,
hc_c20h12_0pent_2,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,0.147,
hc_c20h12_0pent_3,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,0.341,
hc_c22h12_0pent_2,c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c54,0.331,
hc_c22h12_0pent_3,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,0,
hc_c24h12_0pent_1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,0,
hc_c24h14_0pent_1,c1ccc2c(c1)c1cccc3c4ccccc4c4cccc2c4c13,0,
hc_c24h14_0pent_10,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,0.196,
hc_c24h14_0pent_11,c1cc2cccc3c4cc5cccc6cccc(c4cc(c1)c23)c65,0.85,
hc_c24h14_0pent_13,c1ccc2c(c1)cc1cccc3c4cccc5cccc(c54)c2c13,0.822,
hc_c24h14_0pent_14,c1ccc2c(c1)cc1c3cccc4cccc(c5cccc2c51)c43,0.32,
hc_c24h14_0pent_2,c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,0.408,
hc_c24h14_0pent_3,c1ccc2c(c1)ccc1c3cccc4ccc5cccc(c21)c5c43,0.311,
hc_c24h14_0pent_4,c1ccc2cc3c(cc2c1)c1cccc2ccc4cccc3c4c21,0.119,
hc_c24h14_0pent_5,c1ccc2c(c1)ccc1cc3ccc4cccc5ccc(c12)c3c45,0.369,
hc_c24h14_0pent_6,c1ccc2cc3c(cc2c1)cc1ccc2cccc4ccc3c1c24,0.367,
hc_c24h14_0pent_7,c1ccc2c(c1)ccc1c2cc2ccc3cccc4ccc1c2c34,0.114,
hc_c24h14_0pent_8,c1ccc2c(c1)cc1c3ccccc3c3cccc4ccc2c1c43,0.097,
hc_c24h14_0pent_9,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,0.329,
hc_c26h14_0pent_10,c1cc2ccc3c4ccc5cccc6ccc(c7ccc(c1)c2c37)c4c56,0.269,
hc_c26h14_0pent_2,c1ccc2c(c1)cc1ccc3cc4cccc5ccc6cc2c1c3c6c54,0.348,
hc_c26h14_0pent_3,c1ccc2c(c1)cc1cc3ccc4cccc5cc6ccc2c1c6c3c45,0.548,
hc_c26h14_0pent_4,c1cc2ccc3cc4cccc5c6ccccc6c6cc(c1)c2c3c6c45,0.272,
hc_c26h14_0pent_5,c1cc2ccc3ccc4c5cccc6cccc(c7cc(c1)c2c3c47)c65,0.364,
hc_c26h14_0pent_6,c1ccc2c(c1)cc1ccc3ccc4ccc5cccc6c5c4c3c1c26,0.431,
hc_c26h14_0pent_7,c1ccc2c(c1)cc1c3cccc4ccc5ccc6ccc2c1c6c5c43,0.075,
hc_c26h14_0pent_8,c1ccc2c(c1)c1cccc3c4cccc5ccc6ccc2c(c13)c6c54,0,
hc_c26h14_0pent_9,c1ccc2c(c1)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34,0.111,
hc_c28h14_0pent_1,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,1.151,
hc_c28h14_0pent_2,c1cc2ccc3cc4cccc5c6cccc7ccc8c(c1)c2c3c(c45)c8c76,0.407,
hc_c28h14_0pent_3,c1cc2ccc3cc4ccc5cccc6c7cccc8c(c1)c2c3c(c87)c4c56,0.216,
hc_c28h14_0pent_4,c1cc2ccc3cc4ccc5ccc6cccc7c8cc(c1)c2c3c8c4c5c67,0.358,
hc_c28h14_0pent_5,c1cc2ccc3cc4cc5cccc6ccc7cc8cc(c1)c2c3c8c4c7c65,0.89,
hc_c28h14_0pent_7,c1cc2ccc3c4ccc5cccc6cc7ccc8cc(c1)c2c3c8c7c4c56,0.62,
hc_c28h14_0pent_8,c1cc2ccc3ccc4c5cccc6ccc7ccc8c(c1)c2c3c4c8c7c65,0.137,
hc_c28h14_0pent_9,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6ccc2c2c6c5c4c3c12,0,
hc_c28h16_0pent_1,c1ccc2c(c1)cc1c3ccccc3c3cccc4c5ccccc5c2c1c34,0.314,
hc_c28h16_0pent_11,c1ccc2cc3c(cc2c1)c1cccc2c4ccccc4c4cccc3c4c21,0.089,
hc_c28h16_0pent_12,c1ccc2cc3c(cc2c1)c1cccc2ccc4c5ccccc5cc3c4c21,0.169,
hc_c28h16_0pent_13,c1ccc2cc3c(cc2c1)c1cccc2ccc4cc5ccccc5c3c4c21,0.491,
hc_c28h16_0pent_14,c1ccc2c(c1)ccc1cc3c(cc12)c1cccc2ccc4cccc3c4c21,0,
hc_c28h16_0pent_15,c1ccc2cc3cc4c(cc3cc2c1)c1cccc2ccc3cccc4c3c21,0.36,
hc_c28h16_0pent_16,c1ccc2c(c1)ccc1ccc3cc4ccc5cccc6ccc(c4c56)c3c12,0.519,
hc_c28h16_0pent_17,c1ccc2cc3c(ccc4cc5ccc6cccc7ccc(c43)c5c67)cc2c1,0.467,
hc_c28h16_0pent_18,c1ccc2c(c1)ccc1c2ccc2cc3ccc4cccc5ccc(c21)c3c45,0.368,
hc_c28h16_0pent_19,c1ccc2c(c1)ccc1cc3cc4ccc5cccc6ccc(c3cc12)c4c56,0.217,
hc_c28h16_0pent_2,c1ccc2c(c1)ccc1c3cccc4c5ccccc5c5cccc(c21)c5c43,0.254,
hc_c28h16_0pent_20,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2cccc3ccc4c1c23,0.646,
hc_c28h16_0pent_21,c1ccc2c(c1)ccc1cc3c(cc4ccc5cccc6ccc3c4c56)cc12,0.208,
hc_c28h16_0pent_22,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cccc4ccc3c1c42,0.267,
hc_c28h16_0pent_23,c1ccc2cc3c(cc2c1)cc1ccc2c4ccccc4cc4ccc3c1c42,0.551,
hc_c28h16_0pent_24,c1ccc2cc3c(cc2c1)cc1ccc2cc4ccccc4c4ccc3c1c24,0.356,
hc_c28h16_0pent_25,c1ccc2cc3c(cc2c1)cc1ccc2cccc4c5ccccc5c3c1c24,0.601,
hc_c28h16_0pent_26,c1ccc2c(c1)ccc1c2cc2ccc3cccc4c5ccccc5c1c2c34,0.318,
hc_c28h16_0pent_27,c1cc2ccc3cc4c5ccccc5c5ccccc5c4c4ccc(c1)c2c34,0.309,
hc_c28h16_0pent_28,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cccc4ccc2c1c34,0.104,
